timestamp,year,month,region,application,metric,value
2022-01-02 11:08:00,2022,1,Karnataka,Analytics,request_count,458.63
2025-09-01 07:04:00,2025,9,Rajasthan,MobileApp,response_time,636.49
2023-09-30 01:19:00,2023,9,Gujarat,Payment,request_count,145.37
2024-04-21 07:48:00,2024,4,Maharashtra,MobileApp,cpu_usage,913.09
2025-03-18 05:20:00,2025,3,Gujarat,Analytics,cpu_usage,596.43
2025-05-12 18:49:00,2025,5,Karnataka,WebApp,request_count,487.44
2023-08-14 09:27:00,2023,8,Delhi,WebApp,cpu_usage,936.46
2025-07-07 11:10:00,2025,7,Delhi,API,memory_usage,470.77
2025-07-30 12:20:00,2025,7,Gujarat,MobileApp,request_count,333.79
2024-01-31 03:15:00,2024,1,Karnataka,MobileApp,cpu_usage,779.85
2024-08-26 21:11:00,2024,8,Rajasthan,Analytics,cpu_usage,463.88
2023-06-03 15:49:00,2023,6,Maharashtra,Analytics,response_time,551.44
2022-09-18 12:04:00,2022,9,Maharashtra,Payment,cpu_usage,798.83
2024-02-23 22:25:00,2024,2,Maharashtra,MobileApp,response_time,201.76
2022-01-08 12:35:00,2022,1,Rajasthan,WebApp,response_time,259.24
2024-08-18 20:34:00,2024,8,Delhi,Payment,request_count,703.0
2022-08-02 09:47:00,2022,8,Delhi,MobileApp,memory_usage,642.2
2023-01-08 19:11:00,2023,1,Maharashtra,Analytics,cpu_usage,833.59
2025-01-06 10:00:00,2025,1,Rajasthan,Analytics,cpu_usage,368.39
2022-03-23 01:18:00,2022,3,Delhi,Analytics,request_count,600.18
2025-01-12 01:09:00,2025,1,Gujarat,Analytics,error_count,917.71
2025-03-24 07:27:00,2025,3,Karnataka,WebApp,request_count,442.09
2025-12-10 15:29:00,2025,12,Delhi,API,cpu_usage,146.56
2024-05-12 19:58:00,2024,5,Delhi,WebApp,response_time,400.4
2025-07-31 23:39:00,2025,7,Rajasthan,Analytics,cpu_usage,315.5
2025-07-06 12:53:00,2025,7,Gujarat,Analytics,error_count,682.72
2023-03-24 03:32:00,2023,3,Delhi,Payment,error_count,306.94
2024-02-15 12:52:00,2024,2,Gujarat,Analytics,request_count,345.12
2024-05-26 17:56:00,2024,5,Maharashtra,WebApp,response_time,806.15
2025-11-12 01:28:00,2025,11,Rajasthan,MobileApp,memory_usage,121.39
2025-07-17 11:24:00,2025,7,Rajasthan,Payment,request_count,931.26
2025-03-11 01:32:00,2025,3,Rajasthan,API,error_count,391.88
2022-07-11 06:02:00,2022,7,Karnataka,Payment,request_count,208.74
2024-03-14 19:23:00,2024,3,Karnataka,API,request_count,680.3
2023-05-28 23:37:00,2023,5,Maharashtra,API,cpu_usage,898.53
2024-04-22 12:52:00,2024,4,Delhi,WebApp,memory_usage,39.31
2023-07-01 15:00:00,2023,7,Rajasthan,Analytics,response_time,83.49
2022-11-30 04:34:00,2022,11,Rajasthan,WebApp,cpu_usage,656.1
2024-12-27 16:00:00,2024,12,Rajasthan,API,request_count,932.84
2024-08-09 11:55:00,2024,8,Rajasthan,Analytics,memory_usage,327.49
2024-01-31 05:52:00,2024,1,Maharashtra,WebApp,error_count,543.91
2024-08-14 00:20:00,2024,8,Delhi,MobileApp,error_count,791.29
2023-02-20 21:49:00,2023,2,Maharashtra,Analytics,cpu_usage,969.89
2025-10-02 08:45:00,2025,10,Karnataka,API,cpu_usage,533.73
2025-07-03 16:28:00,2025,7,Rajasthan,Payment,error_count,222.47
2022-08-04 14:34:00,2022,8,Gujarat,Payment,memory_usage,659.49
2024-10-06 20:02:00,2024,10,Karnataka,MobileApp,cpu_usage,448.9
2025-04-28 22:41:00,2025,4,Delhi,API,error_count,548.29
2025-05-17 10:59:00,2025,5,Karnataka,Payment,cpu_usage,524.24
2025-11-27 04:22:00,2025,11,Gujarat,MobileApp,cpu_usage,184.33
2022-03-10 05:56:00,2022,3,Gujarat,Payment,response_time,79.01
2022-07-29 16:21:00,2022,7,Gujarat,Analytics,memory_usage,578.91
2022-04-26 08:08:00,2022,4,Delhi,Analytics,response_time,665.51
2025-03-04 13:18:00,2025,3,Karnataka,Analytics,response_time,615.11
2022-10-19 03:29:00,2022,10,Karnataka,WebApp,response_time,135.15
2025-02-19 12:35:00,2025,2,Karnataka,Analytics,request_count,48.34
2023-09-06 20:16:00,2023,9,Maharashtra,Analytics,response_time,393.94
2023-12-16 19:47:00,2023,12,Maharashtra,API,memory_usage,478.86
2023-09-14 15:47:00,2023,9,Gujarat,Analytics,request_count,621.85
2023-01-02 07:11:00,2023,1,Maharashtra,API,response_time,424.96
2022-02-06 11:06:00,2022,2,Maharashtra,Payment,response_time,316.71
2022-06-30 02:50:00,2022,6,Delhi,WebApp,error_count,89.48
2025-04-02 21:57:00,2025,4,Delhi,Payment,memory_usage,835.43
2022-11-23 08:38:00,2022,11,Karnataka,Payment,request_count,693.53
2023-02-07 17:59:00,2023,2,Rajasthan,WebApp,request_count,882.19
2025-10-31 16:14:00,2025,10,Rajasthan,API,memory_usage,144.87
2024-02-28 10:22:00,2024,2,Maharashtra,WebApp,response_time,166.32
2023-11-05 08:50:00,2023,11,Delhi,API,request_count,988.22
2022-10-02 03:22:00,2022,10,Maharashtra,Analytics,cpu_usage,532.01
2024-06-02 04:54:00,2024,6,Delhi,API,cpu_usage,540.4
2025-02-26 15:23:00,2025,2,Gujarat,Payment,cpu_usage,628.36
2023-04-04 01:02:00,2023,4,Rajasthan,MobileApp,cpu_usage,927.07
2025-10-10 02:38:00,2025,10,Maharashtra,MobileApp,error_count,71.44
2024-09-16 16:31:00,2024,9,Gujarat,Payment,error_count,406.96
2023-08-06 03:31:00,2023,8,Maharashtra,API,memory_usage,109.97
2024-12-07 17:50:00,2024,12,Gujarat,Analytics,memory_usage,815.82
2024-12-16 09:24:00,2024,12,Karnataka,Payment,cpu_usage,532.13
2022-08-07 06:24:00,2022,8,Karnataka,API,memory_usage,876.48
2024-11-16 08:39:00,2024,11,Delhi,API,cpu_usage,445.7
2022-09-20 03:20:00,2022,9,Karnataka,WebApp,memory_usage,430.41
2025-09-21 07:31:00,2025,9,Rajasthan,WebApp,memory_usage,912.11
2025-04-22 02:02:00,2025,4,Gujarat,WebApp,cpu_usage,304.06
2024-05-16 20:16:00,2024,5,Gujarat,Payment,cpu_usage,933.58
2025-08-24 13:05:00,2025,8,Karnataka,Analytics,memory_usage,886.29
2022-10-13 06:34:00,2022,10,Delhi,WebApp,memory_usage,474.94
2025-03-27 16:06:00,2025,3,Delhi,MobileApp,error_count,622.61
2025-06-22 02:57:00,2025,6,Delhi,Analytics,memory_usage,482.33
2023-05-09 11:44:00,2023,5,Maharashtra,WebApp,cpu_usage,643.28
2022-11-21 14:57:00,2022,11,Gujarat,MobileApp,cpu_usage,464.53
2024-06-07 01:19:00,2024,6,Maharashtra,API,memory_usage,287.67
2024-02-21 08:11:00,2024,2,Maharashtra,WebApp,memory_usage,383.71
2023-01-10 20:14:00,2023,1,Delhi,Analytics,cpu_usage,267.16
2022-11-30 11:36:00,2022,11,Gujarat,WebApp,cpu_usage,781.27
2023-02-07 07:54:00,2023,2,Karnataka,Payment,request_count,16.14
2023-11-29 15:29:00,2023,11,Maharashtra,WebApp,cpu_usage,476.41
2023-06-06 05:04:00,2023,6,Karnataka,MobileApp,request_count,944.94
2022-08-27 14:58:00,2022,8,Gujarat,WebApp,error_count,849.6
2022-08-22 21:01:00,2022,8,Karnataka,MobileApp,request_count,828.16
2025-01-30 16:29:00,2025,1,Gujarat,WebApp,request_count,661.35
2022-01-10 03:18:00,2022,1,Maharashtra,MobileApp,error_count,554.95
2022-09-02 21:14:00,2022,9,Karnataka,Analytics,memory_usage,325.5
2024-10-26 20:04:00,2024,10,Rajasthan,Analytics,response_time,455.47
2025-08-29 07:30:00,2025,8,Gujarat,MobileApp,request_count,192.82
2022-08-10 17:29:00,2022,8,Gujarat,API,response_time,825.74
2025-01-22 12:25:00,2025,1,Delhi,Analytics,request_count,298.08
2022-07-31 20:46:00,2022,7,Gujarat,WebApp,response_time,361.0
2023-05-04 20:33:00,2023,5,Maharashtra,WebApp,error_count,164.93
2025-05-10 17:29:00,2025,5,Karnataka,MobileApp,response_time,730.2
2022-10-27 13:03:00,2022,10,Rajasthan,Analytics,error_count,433.82
2022-11-02 17:10:00,2022,11,Karnataka,API,cpu_usage,544.95
2025-10-24 01:32:00,2025,10,Maharashtra,Analytics,cpu_usage,788.68
2022-05-21 17:22:00,2022,5,Gujarat,WebApp,request_count,690.45
2022-05-10 02:12:00,2022,5,Gujarat,Payment,error_count,597.31
2025-09-29 02:35:00,2025,9,Karnataka,MobileApp,response_time,780.46
2023-02-07 05:05:00,2023,2,Maharashtra,Analytics,request_count,944.93
2024-10-31 14:16:00,2024,10,Rajasthan,MobileApp,cpu_usage,45.02
2022-08-15 18:03:00,2022,8,Delhi,Analytics,error_count,649.45
2024-02-15 00:52:00,2024,2,Maharashtra,Payment,response_time,101.02
2025-09-21 17:34:00,2025,9,Maharashtra,Analytics,memory_usage,45.61
2025-04-04 14:14:00,2025,4,Karnataka,WebApp,error_count,333.1
2025-04-26 09:56:00,2025,4,Maharashtra,API,error_count,207.43
2024-12-29 23:01:00,2024,12,Gujarat,API,cpu_usage,361.87
2023-11-30 03:23:00,2023,11,Gujarat,MobileApp,cpu_usage,451.07
2024-05-04 14:51:00,2024,5,Rajasthan,WebApp,response_time,421.21
2022-09-22 23:37:00,2022,9,Gujarat,MobileApp,error_count,363.63
2023-09-08 07:00:00,2023,9,Rajasthan,Analytics,request_count,342.79
2023-08-09 20:59:00,2023,8,Rajasthan,WebApp,cpu_usage,713.69
2023-03-07 17:56:00,2023,3,Gujarat,MobileApp,memory_usage,919.63
2025-11-03 03:05:00,2025,11,Karnataka,MobileApp,request_count,905.73
2025-10-09 18:56:00,2025,10,Gujarat,API,response_time,950.25
2024-10-27 09:08:00,2024,10,Delhi,WebApp,response_time,725.93
2022-10-23 10:58:00,2022,10,Karnataka,Analytics,cpu_usage,232.73
2022-08-07 21:36:00,2022,8,Rajasthan,MobileApp,response_time,951.27
2022-10-08 07:13:00,2022,10,Maharashtra,Payment,memory_usage,416.48
2024-08-27 00:20:00,2024,8,Gujarat,MobileApp,memory_usage,47.48
2024-10-27 19:31:00,2024,10,Gujarat,MobileApp,cpu_usage,445.58
2025-05-18 05:47:00,2025,5,Gujarat,API,response_time,728.8
2023-06-15 19:17:00,2023,6,Gujarat,Payment,memory_usage,954.5
2024-03-14 05:16:00,2024,3,Rajasthan,API,response_time,513.82
2023-02-05 12:21:00,2023,2,Karnataka,API,response_time,977.53
2025-05-21 18:18:00,2025,5,Maharashtra,MobileApp,error_count,361.27
2025-05-16 13:55:00,2025,5,Maharashtra,WebApp,memory_usage,433.97
2025-11-13 05:40:00,2025,11,Karnataka,MobileApp,error_count,689.65
2022-07-31 21:12:00,2022,7,Rajasthan,API,error_count,618.53
2022-02-08 13:52:00,2022,2,Rajasthan,MobileApp,cpu_usage,500.51
2025-02-18 15:45:00,2025,2,Rajasthan,Analytics,request_count,921.56
2022-08-03 22:45:00,2022,8,Rajasthan,MobileApp,memory_usage,993.3
2023-09-06 17:08:00,2023,9,Maharashtra,Payment,cpu_usage,869.65
2024-04-28 16:54:00,2024,4,Rajasthan,Payment,error_count,154.5
2025-08-11 16:23:00,2025,8,Rajasthan,Payment,cpu_usage,713.81
2023-05-12 14:20:00,2023,5,Karnataka,Analytics,cpu_usage,732.48
2023-07-03 23:59:00,2023,7,Rajasthan,WebApp,memory_usage,946.15
2023-09-20 02:31:00,2023,9,Maharashtra,Analytics,cpu_usage,744.91
2023-05-13 08:17:00,2023,5,Karnataka,MobileApp,error_count,790.6
2024-10-01 16:06:00,2024,10,Rajasthan,WebApp,cpu_usage,843.82
2023-12-17 02:54:00,2023,12,Karnataka,WebApp,cpu_usage,771.36
2023-11-29 14:15:00,2023,11,Delhi,API,response_time,427.6
2024-12-29 14:42:00,2024,12,Gujarat,API,request_count,834.8
2025-07-26 04:25:00,2025,7,Maharashtra,MobileApp,error_count,449.71
2024-08-05 12:48:00,2024,8,Maharashtra,Analytics,cpu_usage,410.92
2025-06-06 15:29:00,2025,6,Gujarat,Payment,error_count,221.64
2023-02-10 06:35:00,2023,2,Maharashtra,API,cpu_usage,559.18
2024-04-02 10:44:00,2024,4,Delhi,Analytics,request_count,955.33
2025-03-29 01:27:00,2025,3,Rajasthan,API,memory_usage,452.24
2024-07-15 20:58:00,2024,7,Rajasthan,Payment,request_count,225.88
2022-11-07 09:14:00,2022,11,Rajasthan,Analytics,response_time,980.95
2022-09-24 04:19:00,2022,9,Maharashtra,MobileApp,error_count,884.88
2025-08-03 02:29:00,2025,8,Karnataka,WebApp,response_time,641.77
2024-11-23 15:46:00,2024,11,Gujarat,MobileApp,request_count,368.19
2022-05-05 08:25:00,2022,5,Karnataka,WebApp,cpu_usage,369.9
2022-08-15 08:36:00,2022,8,Maharashtra,Analytics,cpu_usage,339.13
2023-06-04 23:30:00,2023,6,Karnataka,Payment,cpu_usage,448.64
2022-03-10 10:51:00,2022,3,Rajasthan,Payment,request_count,814.94
2022-03-24 16:48:00,2022,3,Gujarat,Analytics,cpu_usage,15.17
2025-02-06 15:29:00,2025,2,Maharashtra,API,response_time,302.92
2025-06-05 20:53:00,2025,6,Delhi,Analytics,cpu_usage,601.6
2024-09-13 14:39:00,2024,9,Gujarat,WebApp,response_time,656.69
2022-07-30 12:35:00,2022,7,Gujarat,MobileApp,request_count,635.09
2025-10-15 05:21:00,2025,10,Delhi,Analytics,request_count,425.6
